timestamp,code,low,open,close,high,volume,turnover,securityId,factor
2016-08-09,600977,10.7,10.7,12.84,12.84,180324,2308726,stock_sh_600977,1
2016-08-10,600977,14.12,14.12,14.12,14.12,70464,994952,stock_sh_600977,1
2016-08-11,600977,15.53,15.53,15.53,15.53,67505,1048353,stock_sh_600977,1
2016-08-12,600977,17.08,17.08,17.08,17.08,187196,3197308,stock_sh_600977,1
2016-08-15,600977,18.79,18.79,18.79,18.79,183895,3455387,stock_sh_600977,1
2016-08-16,600977,20.67,20.67,20.67,20.67,174751,3612103,stock_sh_600977,1
2016-08-17,600977,22.74,22.74,22.74,22.74,279011,6344710,stock_sh_600977,1
2016-08-18,600977,25.01,25.01,25.01,25.01,362604,9068726,stock_sh_600977,1
2016-08-19,600977,27.51,27.51,27.51,27.51,1132164,31145832,stock_sh_600977,1
2016-08-22,600977,30.26,30.26,30.26,30.26,2413820,73042193,stock_sh_600977,1
2016-08-23,600977,33.29,33.29,33.29,33.29,1446309,48147627,stock_sh_600977,1
2016-08-24,600977,36.62,36.62,36.62,36.62,570334,20885631,stock_sh_600977,1
2016-08-25,600977,38.18,40.28,38.83,40.28,238530958,9379326146,stock_sh_600977,1
2016-08-26,600977,38.34,38.5,38.52,40.19,134146735,5247420225,stock_sh_600977,1
2016-08-29,600977,34.71,37.56,34.74,37.56,125877228,4499417648,stock_sh_600977,1
2016-08-30,600977,34.08,35.33,34.27,35.68,68513946,2390989382,stock_sh_600977,1
2016-08-31,600977,33.31,34.15,34.66,35.08,78486761,2682664898,stock_sh_600977,1
2016-09-01,600977,33.69,34.25,34.51,35.15,63691082,2196540111,stock_sh_600977,1
2016-09-02,600977,33.85,34.18,34.34,35.0,51483813,1773817605,stock_sh_600977,1
2016-09-05,600977,32.78,34.3,32.8,34.5,68478892,2289143570,stock_sh_600977,1
2016-09-06,600977,32.26,32.44,33.14,33.26,47116360,1541184472,stock_sh_600977,1
2016-09-07,600977,32.62,33.0,32.66,33.35,33111719,1091400425,stock_sh_600977,1
2016-09-08,600977,32.47,32.8,32.76,33.35,38503921,1269381973,stock_sh_600977,1
2016-09-09,600977,31.54,32.44,31.56,32.77,46171762,1482067528,stock_sh_600977,1
2016-09-12,600977,29.77,30.6,29.87,30.98,38260188,1162532103,stock_sh_600977,1
2016-09-13,600977,29.8,30.16,29.89,30.25,21192801,635038936,stock_sh_600977,1
2016-09-14,600977,29.0,29.68,29.17,30.12,25311121,751452466,stock_sh_600977,1
