timestamp,reportPeriod,securityId,type,description,preEPS,changeStart,change
2017-07-13,2017-06-30,stock_sz_300550,预降,"预计2017年1-6月归属于上市公司股东的净利润为：1,000.00万元至1,300.00万元，较上年同期相比变动幅度：-43.97%至-27.16%。",0.30000000000000004,-0.43970000000000004,-0.2716
2017-04-07,2017-03-31,stock_sz_300550,预盈,预计2017年1-3月归属于上市公司股东的净利润为：90.00万元至115.00万元。,-0.02,,
2017-01-23,2016-12-31,stock_sz_300550,预升,"预计2016年1-12月归属于上市公司股东的净利润为：5,172.80万元至5,700.00万元，较上年同期相比变动幅度：0.00%至10.19%。",0.86,0.0,0.101899999999999
2016-09-28,2016-09-30,stock_sz_300550,预升,"预计2016年1-9月归属于上市公司股东的净利润为：3,200.00万元至3,700.00万元，较上年同期相比变动幅度：30.00%至40.00%。",0.4223,0.30000000000000004,0.4
