timestamp,timestamp1,id,securityId,order,price,volume,direction,orderType,turnover
2018-08-29T09:30:00.938,1535506200938,59129261,coin_binance_BTC-USDT,,7076.09,5e-05,1,,0.3538045
2018-08-29T09:30:01.307,1535506201307,59129262,coin_binance_BTC-USDT,,7074.95,0.068335,1,,483.46670825
2018-08-29T09:30:01.319,1535506201319,59129263,coin_binance_BTC-USDT,,7073.81,0.084084,-1,,594.7942400400001
2018-08-29T09:30:01.356,1535506201356,59129264,coin_binance_BTC-USDT,,7073.81,0.001865,1,,13.19265565
2018-08-29T09:30:04.005,1535506204005,59129265,coin_binance_BTC-USDT,,7074.95,0.247325,1,,1749.81200875
2018-08-29T09:30:04.021,1535506204021,59129266,coin_binance_BTC-USDT,,7073.81,0.114448,-1,,809.58340688
2018-08-29T09:30:04.042,1535506204042,59129267,coin_binance_BTC-USDT,,7073.81,0.110411,-1,,781.02643591
2018-08-29T09:30:04.588,1535506204588,59129268,coin_binance_BTC-USDT,,7073.8,0.01,-1,,70.738
2018-08-29T09:30:04.695,1535506204695,59129269,coin_binance_BTC-USDT,,7073.8,0.001415,-1,,10.009427
2018-08-29T09:30:05.885,1535506205885,59129270,coin_binance_BTC-USDT,,7076.09,0.0025,1,,17.690225
2018-08-29T09:30:05.973,1535506205973,59129271,coin_binance_BTC-USDT,,7076.09,0.018876,1,,133.56827484000002
2018-08-29T09:30:05.973,1535506205973,59129272,coin_binance_BTC-USDT,,7076.14,0.003984,1,,28.19134176
2018-08-29T09:30:06.546,1535506206546,59129273,coin_binance_BTC-USDT,,7076.13,0.0001,1,,0.707613
2018-08-29T09:30:06.895,1535506206895,59129274,coin_binance_BTC-USDT,,7074.97,0.248092,1,,1755.2434572400002
2018-08-29T09:30:06.906,1535506206906,59129275,coin_binance_BTC-USDT,,7073.81,0.213873,-1,,1512.8969661300002
2018-08-29T09:30:07.852,1535506207852,59129276,coin_binance_BTC-USDT,,7074.9,0.622748,1,,4405.8798252
2018-08-29T09:30:07.873,1535506207873,59129277,coin_binance_BTC-USDT,,7073.81,0.172827,-1,,1222.5453608700002
2018-08-29T09:30:07.892,1535506207892,59129278,coin_binance_BTC-USDT,,7073.81,0.210386,-1,,1488.23059066
2018-08-29T09:30:08.500,1535506208500,59129279,coin_binance_BTC-USDT,,7073.8,0.064611,-1,,457.04529180000003
2018-08-29T09:30:09.042,1535506209042,59129280,coin_binance_BTC-USDT,,7073.8,0.1976,-1,,1397.78288
2018-08-29T09:30:09.519,1535506209519,59129281,coin_binance_BTC-USDT,,7073.8,0.004144,-1,,29.313827200000002
2018-08-29T09:30:09.523,1535506209523,59129282,coin_binance_BTC-USDT,,7073.92,0.073298,1,,518.50418816
2018-08-29T09:30:10.856,1535506210856,59129283,coin_binance_BTC-USDT,,7073.92,0.081318,1,,575.23702656
2018-08-29T09:30:10.885,1535506210885,59129284,coin_binance_BTC-USDT,,7073.92,0.027093,1,,191.65371456
2018-08-29T09:30:11.396,1535506211396,59129285,coin_binance_BTC-USDT,,7073.92,0.0001,1,,0.707392
2018-08-29T09:30:11.498,1535506211498,59129286,coin_binance_BTC-USDT,,7073.92,0.006,1,,42.44352
2018-08-29T09:30:12.134,1535506212134,59129287,coin_binance_BTC-USDT,,7073.8,0.001703,-1,,12.0466814
2018-08-29T09:30:13.182,1535506213182,59129288,coin_binance_BTC-USDT,,7073.86,0.363205,1,,2569.2613213
2018-08-29T09:30:13.196,1535506213196,59129289,coin_binance_BTC-USDT,,7073.81,0.07803,-1,,551.9693943000001
2018-08-29T09:30:13.215,1535506213215,59129290,coin_binance_BTC-USDT,,7073.81,0.218797,-1,,1547.72840657
2018-08-29T09:30:13.480,1535506213480,59129291,coin_binance_BTC-USDT,,7073.92,0.53426,1,,3779.3124992
2018-08-29T09:30:15.219,1535506215219,59129292,coin_binance_BTC-USDT,,7073.86,0.51337,1,,3631.5075082
2018-08-29T09:30:15.231,1535506215231,59129293,coin_binance_BTC-USDT,,7073.81,0.026568,-1,,187.93698408000003
2018-08-29T09:30:15.258,1535506215258,59129294,coin_binance_BTC-USDT,,7073.81,0.207003,-1,,1464.2998914300001
2018-08-29T09:30:15.651,1535506215651,59129295,coin_binance_BTC-USDT,,7073.92,0.008356,1,,59.10967552
