timestamp,price,volume,turnover,direction
15:00:03,9.36,4292,4018098,-1
14:57:03,9.36,500,468000,-1
14:57:00,9.37,37,34669,1
14:56:57,9.36,197,184392,-1
14:56:54,9.37,15,14054,1
14:56:51,9.37,18,16866,1
14:56:48,9.37,407,381358,-1
14:56:45,9.38,66,61908,1
14:56:42,9.37,50,46849,-1
14:56:39,9.37,97,90888,1
14:56:36,9.36,96,89856,-1
14:56:33,9.37,58,54345,1
14:56:30,9.36,63,58968,-1
14:56:27,9.37,88,82456,1
14:56:24,9.37,54,50597,1
14:56:21,9.37,39,36580,-1
14:56:18,9.37,197,184588,-1
14:56:15,9.37,300,281100,-1
14:56:09,9.37,129,120872,-1
14:56:06,9.37,32,29983,-1
14:56:03,9.38,116,108808,1
14:56:00,9.37,162,151794,-1
14:55:57,9.37,120,112439,-1
14:55:54,9.37,4,3747,-1
14:55:51,9.38,340,319820,1
14:55:48,9.36,74,69264,-1
14:55:45,9.37,82,76834,1
14:55:39,9.37,138,129305,-1
14:55:36,9.38,120,112560,1
14:55:33,9.38,4,3752,1
14:55:27,9.37,50,46849,-1
14:55:24,9.37,26,24361,-1
14:55:21,9.37,512,479743,1
14:55:18,9.36,65,60839,-1
14:55:15,9.36,20,18720,-1
14:55:12,9.36,12,11232,-1
14:55:09,9.37,106,99321,1
14:55:06,9.37,17,15928,1
14:55:03,9.36,31,29016,-1
14:54:57,9.37,10,9370,1
14:54:54,9.37,15,14054,1
14:54:51,9.36,10,9360,-1
14:54:48,9.36,48,44928,-1
14:54:45,9.36,5,4680,-1
14:54:42,9.37,58,54345,1
14:54:36,9.37,9,8433,1
14:54:33,9.36,10,9360,0
14:54:30,9.35,37,34595,-1
14:54:27,9.35,240,224400,-1
14:54:24,9.36,6,5616,-1
14:54:21,9.36,37,34632,-1
14:54:15,9.36,123,115128,1
14:54:12,9.36,148,138528,1
14:54:09,9.36,70,65519,1
14:54:06,9.35,187,174845,-1
14:54:03,9.36,143,133848,1
14:54:00,9.36,421,394056,1
14:53:57,9.36,176,164736,1
14:53:54,9.35,14,13090,-1
14:53:51,9.36,12,11232,1
14:53:48,9.36,506,473616,1
14:53:45,9.36,89,83304,1
14:53:39,9.36,1,936,1
14:53:36,9.36,10,9360,1
14:53:33,9.36,166,155376,-1
14:53:30,9.36,511,478296,-1
14:53:27,9.36,20,18720,-1
14:53:24,9.36,60,56160,-1
14:53:21,9.37,1,936,1
14:53:18,9.36,12,11232,-1
14:53:15,9.36,20,18720,-1
14:53:12,9.36,35,32759,-1
14:53:09,9.37,212,198643,1
14:53:06,9.37,325,304525,1
14:53:03,9.37,20,18740,1
14:53:00,9.37,263,246430,-1
14:52:57,9.37,18,16866,-1
14:52:54,9.38,29,27202,1
14:52:51,9.38,214,200732,1
14:52:48,9.38,1,938,1
14:52:45,9.37,85,79645,-1
14:52:42,9.37,30,28109,-1
14:52:39,9.38,11,10318,1
14:52:36,9.38,6,5628,1
14:52:33,9.37,20,18740,-1
14:52:30,9.37,224,209887,-1
14:52:21,9.38,158,148204,1
14:52:18,9.38,1,938,1
14:52:12,9.38,22,20636,1
14:52:09,9.38,1,938,1
14:52:06,9.37,52,48723,-1
14:52:00,9.38,2,1876,1
14:51:57,9.38,137,128506,-1
14:51:54,9.38,200,187600,-1
14:51:51,9.39,340,319260,1
14:51:48,9.39,31,29109,1
14:51:45,9.38,8,7522,-1
14:51:42,9.38,63,59094,-1
14:51:39,9.39,350,328650,1
14:51:36,9.39,50,46950,1
14:51:33,9.39,10,9390,1
14:51:30,9.39,1,939,1
14:51:27,9.38,200,187600,-1
14:51:24,9.39,53,49767,1
14:51:21,9.38,21,19698,-1
14:51:15,9.38,1,938,-1
14:51:12,9.38,30,28140,-1
14:51:06,9.38,104,98471,1
14:51:00,9.36,572,535392,-1
14:50:57,9.37,13,12180,1
14:50:54,9.37,83,77771,-1
14:50:51,9.38,104,97552,1
14:50:48,9.38,2,1876,1
14:50:45,9.36,44,41184,-1
14:50:42,9.37,120,112439,-1
14:50:39,9.37,273,255800,1
14:50:33,9.37,5,4685,1
14:50:30,9.37,7,6558,1
14:50:24,9.35,50,46750,-1
14:50:21,9.36,98,91728,-1
14:50:18,9.37,17,15928,1
14:50:15,9.36,50,46800,-1
14:50:12,9.36,55,51480,-1
14:50:09,9.37,32,29983,1
14:50:06,9.37,2,1873,1
14:50:03,9.37,6,5621,1
14:50:00,9.37,395,370114,1
14:49:54,9.35,332,310420,-1
14:49:51,9.36,37,34632,1
14:49:48,9.35,20,18700,-1
14:49:45,9.36,10,9360,1
14:49:42,9.36,347,324792,1
14:49:39,9.35,36,33660,-1
14:49:36,9.36,72,67392,1
14:49:33,9.36,30,28080,1
14:49:30,9.36,14,13104,1
14:49:27,9.36,10,9360,1
14:49:18,9.36,17,15911,1
14:49:15,9.35,50,46750,-1
14:49:09,9.36,202,189072,1
14:49:06,9.35,16,14960,-1
14:49:03,9.35,90,84150,-1
