timestamp,price,volume,turnover,direction
15:00:03,9.73,14317,13930441,1
14:57:03,9.73,53,51569,1
14:57:00,9.72,430,417960,-1
14:56:57,9.73,224,217952,1
14:56:54,9.72,427,415044,-1
14:56:51,9.72,314,305208,-1
14:56:48,9.72,461,448092,-1
14:56:45,9.73,446,433958,1
14:56:42,9.72,84,81648,-1
14:56:39,9.72,421,409212,-1
14:56:36,9.72,74,71928,-1
14:56:33,9.73,168,163464,1
14:56:30,9.72,2275,2212252,1
14:56:27,9.72,141,137052,1
14:56:24,9.72,442,429643,-1
14:56:21,9.72,210,204120,-1
14:56:18,9.72,155,150660,-1
14:56:15,9.73,1114,1083922,1
14:56:12,9.72,965,938932,1
14:56:09,9.72,460,447120,1
14:56:06,9.71,38,36898,-1
14:56:03,9.72,166,161352,1
14:56:00,9.72,1126,1094472,1
14:55:57,9.72,425,413100,1
14:55:54,9.72,139,135108,1
14:55:51,9.72,484,470448,1
14:55:48,9.71,157,152447,-1
14:55:45,9.71,185,179635,-1
14:55:42,9.71,33,32043,-1
14:55:39,9.71,202,196142,-1
14:55:36,9.71,122,118462,-1
14:55:33,9.72,2722,2645784,1
14:55:30,9.71,240,233040,1
14:55:27,9.71,444,431124,1
14:55:24,9.71,1661,1612831,-1
14:55:21,9.71,99,96129,-1
14:55:18,9.71,46,44666,-1
14:55:15,9.72,134,130248,1
14:55:12,9.72,179,173988,1
14:55:09,9.72,256,248832,1
14:55:06,9.72,1145,1112940,1
14:55:03,9.72,266,258552,1
14:55:00,9.72,214,208008,1
14:54:57,9.72,132,128304,1
14:54:54,9.71,203,197113,-1
14:54:51,9.72,260,252720,1
14:54:48,9.72,96,93312,1
14:54:45,9.72,760,738720,1
14:54:42,9.71,59,57289,-1
14:54:39,9.72,30,29160,1
14:54:36,9.72,722,701784,1
14:54:33,9.72,459,446148,1
14:54:30,9.71,261,254392,0
14:54:27,9.72,405,393660,1
14:54:24,9.72,39,37908,1
14:54:21,9.71,661,641831,-1
14:54:18,9.71,111,107781,-1
14:54:15,9.71,109,105839,-1
14:54:12,9.72,506,491832,1
14:54:09,9.71,1325,1286575,1
14:54:06,9.7,20,19400,-1
14:54:03,9.71,541,525311,1
14:54:00,9.71,24,23304,1
14:53:57,9.71,29,28159,1
14:53:54,9.7,97,94090,-1
14:53:48,9.71,12,11652,1
14:53:45,9.71,379,368009,1
14:53:42,9.71,124,120404,1
14:53:39,9.71,144,139824,1
14:53:36,9.71,51,49521,1
14:53:33,9.71,80,77680,0
14:53:30,9.72,196,190512,1
14:53:27,9.72,224,217728,1
14:53:24,9.71,263,255373,-1
14:53:21,9.72,67,65124,1
14:53:18,9.71,122,118462,-1
14:53:15,9.71,418,405878,-1
14:53:12,9.71,180,174780,-1
14:53:09,9.71,206,200026,-1
14:53:06,9.71,176,170896,-1
14:53:03,9.72,67,65124,1
14:53:00,9.71,340,330140,-1
14:52:57,9.71,1344,1305024,1
14:52:54,9.71,365,354415,-1
14:52:51,9.72,830,806760,1
14:52:48,9.71,123,119433,-1
14:52:45,9.71,265,257315,-1
14:52:42,9.71,124,120404,-1
14:52:39,9.71,197,191287,-1
14:52:36,9.71,26,25246,-1
14:52:33,9.71,129,125259,-1
14:52:30,9.71,21,20391,-1
14:52:27,9.71,125,121375,-1
14:52:24,9.71,436,423356,-1
14:52:21,9.71,160,155360,1
14:52:18,9.71,211,204881,1
14:52:15,9.71,244,236924,1
14:52:12,9.71,96,93216,1
14:52:09,9.71,224,217504,1
14:52:06,9.71,1109,1076839,1
14:52:03,9.7,563,546110,-1
14:52:00,9.7,173,167810,-1
14:51:57,9.71,830,805930,1
14:51:54,9.7,215,208549,-1
14:51:51,9.7,28,27159,-1
14:51:48,9.7,14,13579,-1
14:51:45,9.7,266,258660,1
14:51:42,9.7,1993,1933209,1
14:51:39,9.7,774,750780,1
14:51:36,9.7,1039,1007829,1
