timestamp,price,volume,turnover,direction
15:00:03,9.26,2356,2181656,1
14:57:03,9.26,0,0,1
14:57:00,9.26,30,27780,1
14:56:57,9.26,41,37966,-1
14:56:54,9.27,140,129780,1
14:56:51,9.27,139,128853,1
14:56:48,9.26,61,56486,-1
14:56:45,9.27,25,23175,1
14:56:42,9.26,49,45374,-1
14:56:39,9.27,30,27810,1
14:56:36,9.27,51,47277,1
14:56:33,9.26,90,83340,-1
14:56:30,9.26,125,115750,-1
14:56:27,9.27,283,262341,1
14:56:24,9.26,49,45374,-1
14:56:21,9.27,22,20394,1
14:56:18,9.26,120,111120,-1
14:56:15,9.26,120,111120,-1
14:56:12,9.26,73,67598,-1
14:56:09,9.27,33,30591,1
14:56:06,9.26,5,4630,-1
14:56:03,9.26,52,48152,-1
14:56:00,9.27,6,5562,1
14:55:57,9.27,134,124218,1
14:55:51,9.27,53,49131,1
14:55:48,9.27,83,76941,1
14:55:45,9.26,206,190802,-1
14:55:42,9.28,46,42688,1
14:55:39,9.27,20,18540,-1
14:55:36,9.27,223,207601,1
14:55:33,9.26,80,74080,-1
14:55:30,9.27,10,9270,1
14:55:24,9.26,253,234278,-1
14:55:21,9.27,205,190035,1
14:55:18,9.27,19,17613,1
14:55:15,9.26,27,25002,1
14:55:12,9.26,79,73154,-1
14:55:09,9.27,264,244728,1
14:55:06,9.27,54,50058,1
14:55:03,9.26,524,485270,-1
14:55:00,9.26,10,9260,-1
14:54:57,9.27,87,80649,1
14:54:54,9.27,145,134415,1
14:54:48,9.26,8,7408,-1
14:54:42,9.26,20,18520,-1
14:54:39,9.27,80,74160,1
14:54:36,9.26,68,62968,-1
14:54:33,9.26,13,12038,-1
14:54:30,9.26,1071,991746,-1
14:54:27,9.26,25,23150,-1
14:54:21,9.26,50,46300,-1
14:54:18,9.26,118,109268,-1
14:54:15,9.26,2,1852,-1
14:54:12,9.26,61,56486,-1
14:54:09,9.26,116,107416,-1
14:54:06,9.26,108,100008,-1
14:54:03,9.26,254,235204,-1
14:53:57,9.26,6,5556,-1
14:53:51,9.26,330,305580,-1
14:53:39,9.26,500,463000,-1
14:53:36,9.27,500,463500,1
14:53:33,9.26,17,15742,-1
14:53:30,9.26,52,49031,1
14:53:27,9.26,95,87970,1
14:53:24,9.26,71,65746,1
14:53:21,9.26,10,9260,1
14:53:18,9.26,8,7408,1
14:53:15,9.26,72,66718,-1
14:53:09,9.26,11,10186,-1
14:53:06,9.26,500,463000,-1
14:53:03,9.26,300,277800,-1
14:52:57,9.26,65,60190,-1
14:52:54,9.27,22,20394,1
14:52:45,9.27,235,217845,1
14:52:42,9.26,536,496336,-1
14:52:39,9.26,304,281504,-1
14:52:30,9.27,46,42642,1
14:52:27,9.26,308,285208,-1
14:52:24,9.26,116,107416,-1
14:52:21,9.27,16,14832,1
14:52:18,9.27,5,4635,1
14:52:15,9.27,11,11096,1
14:52:12,9.26,60,55560,-1
14:52:09,9.27,22,20394,1
14:52:06,9.27,41,38007,1
14:52:03,9.26,50,46300,-1
14:52:00,9.27,451,418077,-1
14:51:57,9.27,31,28737,-1
14:51:45,9.27,253,234531,-1
14:51:42,9.27,496,459792,1
14:51:39,9.26,8,7408,-1
14:51:36,9.27,10,9270,1
14:51:33,9.27,7,6489,1
14:51:30,9.27,28,25956,1
14:51:24,9.26,51,47226,-1
14:51:21,9.27,7,6489,1
14:51:15,9.26,30,28687,-1
14:51:09,9.26,1,926,-1
14:51:06,9.27,142,131634,1
14:51:03,9.27,54,50058,1
14:51:00,9.26,2,1852,-1
14:50:54,9.27,51,47277,1
14:50:51,9.26,132,122232,-1
14:50:48,9.27,73,67671,1
14:50:42,9.26,119,110194,-1
14:50:36,9.27,15,13905,1
14:50:33,9.26,48,44448,-1
14:50:18,9.27,59,54693,1
14:50:12,9.27,10,9270,1
14:50:09,9.27,39,36153,-1
14:50:06,9.28,200,185600,1
14:50:03,9.27,101,93627,-1
14:50:00,9.27,83,76941,-1
14:49:57,9.28,5,4640,1
14:49:54,9.28,32,29695,1
14:49:48,9.27,76,70452,-1
14:49:45,9.28,10,9280,1
14:49:42,9.27,23,21321,-1
14:49:39,9.28,2,1855,1
14:49:36,9.28,10,9280,1
14:49:24,9.28,76,70528,1
14:49:21,9.27,50,46350,-1
14:49:18,9.27,70,64890,-1
14:49:15,9.27,105,97335,-1
14:49:12,9.27,536,496872,1
14:49:09,9.27,39,36153,1
14:49:03,9.27,6,5562,1
14:48:57,9.27,11,10197,1
14:48:51,9.27,10,9270,1
14:48:48,9.26,128,118528,-1
14:48:45,9.27,10,9270,1
14:48:42,9.26,188,174088,-1
14:48:39,9.27,2,1854,1
14:48:36,9.26,21,19446,-1
14:48:33,9.26,8,7408,-1
14:48:30,9.26,254,235204,1
14:48:21,9.26,19,17594,1
14:48:12,9.26,2,1852,1
