timestamp,price,volume,turnover,direction
15:00:00,15.26,0,0,1
15:00:00,15.26,0,0,1
14:59:59,15.26,36,54936,-1
14:59:59,15.26,32,48832,-1
14:59:54,15.26,21,32046,1
14:59:51,15.26,184,280784,1
14:59:48,15.25,14,21350,-1
14:59:45,15.25,11,16775,-1
14:59:42,15.26,5,7630,1
14:59:36,15.26,17,25942,1
14:59:33,15.25,9,13725,-1
14:59:30,15.25,20,30500,-1
14:59:15,15.25,3,4575,-1
14:59:12,15.25,114,173850,1
14:59:09,15.24,20,30480,-1
14:59:06,15.25,5,7625,1
14:59:03,15.25,1,1525,1
14:58:47,15.25,32,48800,1
14:58:44,15.24,5,7620,-1
14:58:41,15.25,3,4575,1
14:58:32,15.25,52,79300,1
14:58:29,15.24,43,65532,-1
14:58:26,15.25,2,3050,-1
14:58:21,15.25,25,38125,-1
14:58:17,15.26,124,189224,1
14:58:11,15.25,33,50325,1
14:58:03,15.25,5,7625,1
14:57:59,15.25,4,6100,1
14:57:53,15.25,25,38125,1
14:57:32,15.24,130,198120,1
14:57:26,15.24,66,100584,-1
14:57:14,15.24,10,15240,-1
14:57:11,15.24,328,499872,-1
14:56:53,15.25,0,0,1
14:56:50,15.25,35,53375,1
14:56:44,15.25,31,47275,1
14:56:41,15.23,171,260433,-1
14:56:35,15.25,18,27450,1
14:56:29,15.25,8,12200,1
14:56:26,15.24,104,158496,-1
14:56:20,15.24,10,15240,-1
14:56:17,15.24,1,1524,1
14:56:08,15.24,112,170688,1
14:56:02,15.24,5,7620,1
14:55:56,15.24,6,9144,1
14:55:50,15.24,3,4572,1
14:55:47,15.23,10,15230,-1
14:55:38,15.24,7,10668,1
14:55:20,15.24,6,9144,1
14:55:14,15.23,16,24368,-1
14:55:05,15.23,1,1523,-1
14:54:59,15.23,16,24368,-1
14:54:53,15.24,35,53340,1
14:54:50,15.23,132,201036,-1
14:54:47,15.23,20,30460,-1
14:54:44,15.24,60,91440,1
14:54:35,15.23,0,0,-1
14:54:29,15.23,156,237588,-1
14:54:23,15.24,5,7620,1
14:54:20,15.25,62,94550,1
14:54:14,15.24,10,15240,1
14:54:11,15.24,6,9144,1
14:54:08,15.23,13,19799,-1
14:54:02,15.24,10,15240,1
14:53:53,15.23,20,30460,-1
14:53:38,15.24,5,7620,1
14:53:32,15.24,5,7620,1
14:53:29,15.24,30,45720,-1
14:53:26,15.24,17,25908,-1
14:53:23,15.24,117,178308,1
14:53:20,15.24,28,42672,1
14:53:17,15.24,255,388620,-1
14:53:11,15.25,5,7625,1
14:53:05,15.24,11,16764,-1
14:53:02,15.24,3,4572,-1
14:52:47,15.24,12,18288,-1
14:52:44,15.24,10,15240,-1
14:52:38,15.24,20,30480,-1
14:52:35,15.24,20,30480,-1
14:52:29,15.25,13,19825,1
14:52:26,15.24,18,27432,-1
14:52:20,15.25,201,306525,-1
14:52:17,15.25,5,7625,0
14:52:14,15.26,2,3052,1
14:52:11,15.24,66,100584,-1
14:52:08,15.25,94,143350,1
14:52:05,15.25,5,7625,1
14:51:59,15.25,31,47275,1
14:51:56,15.25,2,3050,1
14:51:53,15.24,52,79248,-1
14:51:44,15.25,5,7625,1
14:51:41,15.25,10,15250,1
14:51:32,15.24,59,89916,-1
14:51:29,15.25,2,3050,1
14:51:23,15.25,7,10675,0
14:51:20,15.24,55,83820,-1
14:51:17,15.25,9,13725,1
14:51:14,15.25,17,25925,1
14:51:11,15.24,28,42672,-1
14:51:05,15.25,2,3050,1
14:51:02,15.24,20,30480,-1
14:50:56,15.25,2,3050,1
14:50:50,15.24,18,27432,-1
14:50:47,15.24,1,1524,-1
14:50:44,15.26,2,3052,1
14:50:41,15.24,4,6096,-1
14:50:38,15.24,21,32004,-1
14:50:35,15.26,1,1526,1
14:50:32,15.24,18,27432,-1
14:50:29,15.25,10,15250,1
14:50:25,15.25,12,18300,1
14:50:23,15.25,50,76250,0
14:50:19,15.24,42,64008,-1
14:50:10,15.25,27,41175,-1
14:50:08,15.25,10,15250,-1
14:49:58,15.25,1,1525,-1
14:49:52,15.25,53,80825,-1
