code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
600068,葛洲坝,1997-05-26,sh,stock,stock_sh_600068,建筑建材,"['参股金融', '军民融合', '融资融券', '水利建设', 'QFII重仓', '金融参股', '整体上市', '央企50', '武汉规划']",湖北,,,1997-05-26
600069,银鸽投资,1997-04-30,sh,stock,stock_sh_600069,造纸行业,"['参股金融', '婴童概念', '准ST股', '摘帽概念']",河南,,,1997-04-30
600070,浙江富润,1997-06-04,sh,stock,stock_sh_600070,纺织行业,"['参股金融', '金融参股', '金融改革', '重组概念']",浙江,,,1997-06-04
600071,凤凰光学,1997-05-28,sh,stock,stock_sh_600071,,"['参股金融', '锂电池', '食品安全']",江西,,,1997-05-28
600072,中船科技,1997-06-03,sh,stock,stock_sh_600072,船舶制造,"['券商重仓', '海工装备', '上海本地', '重组概念', '国防军工', '军工航天']",上海,,,1997-06-03
600073,上海梅林,1997-07-04,sh,stock,stock_sh_600073,食品行业,"['国企改革', '上海本地', '猪肉']",上海,,,1997-07-04
600074,保千里,1997-06-23,sh,stock,stock_sh_600074,电子信息,"['安防服务', '融资融券']",江苏,,,1997-06-23
600075,新疆天业,1997-06-17,sh,stock,stock_sh_600075,化工行业,"['生态农业', '水利建设', '节能']",新疆,,,1997-06-17
600076,康欣新材,1997-05-26,sh,stock,stock_sh_600076,电子信息,"['锂电池', '新能源', '重组概念', '黄河三角']",山东,,,1997-05-26
600077,宋都股份,1997-05-20,sh,stock,stock_sh_600077,房地产,"['股权激励', '融资融券']",浙江,,,1997-05-20
600078,澄星股份,1997-06-27,sh,stock,stock_sh_600078,化工行业,"['融资融券', '出口退税', '重组概念']",江苏,,,1997-06-27
600079,人福医药,1997-06-06,sh,stock,stock_sh_600079,生物制药,"['参股金融', '股权激励', '融资融券', '基金重仓', '金融参股', '抗癌', '新三板', '农村金融', '仿制药', '武汉规划']",湖北,,,1997-06-06
600080,金花股份,1997-06-12,sh,stock,stock_sh_600080,生物制药,"['3D打印', '陕甘宁']",陕西,,,1997-06-12
600081,东风科技,1997-07-03,sh,stock,stock_sh_600081,汽车制造,"['业绩预升', '汽车电子', '上海本地']",上海,,,1997-07-03
600082,海泰发展,1997-06-20,sh,stock,stock_sh_600082,房地产,"['创投概念', '超导概念', '天津自贸', '新三板', '互联金融']",天津,,,1997-06-20
600083,博信股份,1997-06-06,sh,stock,stock_sh_600083,电子器件,涉矿概念,广东,,,1997-06-06
600084,中葡股份,1997-07-11,sh,stock,stock_sh_600084,酿酒行业,"['股期概念', '金融参股']",新疆,,,1997-07-11
600085,同仁堂,1997-06-25,sh,stock,stock_sh_600085,生物制药,"['甲型流感', '超级细菌', '分拆上市', '融资融券', '保险重仓', '仿制药', '社保重仓']",北京,,,1997-06-25
600086,东方金钰,1997-06-06,sh,stock,stock_sh_600086,服装鞋类,"['融资融券', '信托重仓', '黄金概念', '奢侈品']",湖北,,,1997-06-06
600088,中视传媒,1997-06-16,sh,stock,stock_sh_600088,传媒娱乐,"['三网融合', '文化振兴', '业绩预升']",上海,,,1997-06-16
600089,特变电工,1997-06-18,sh,stock,stock_sh_600089,发电设备,"['券商重仓', '低碳经济', '风能', '融资融券', '风能概念', '太阳能', '核电核能', '新能源', '多晶硅', '涉矿概念']",新疆,,,1997-06-18
600090,同济堂,1997-06-16,sh,stock,stock_sh_600090,酿酒行业,"['参股金融', '涉矿概念']",新疆,,,1997-06-16
600091,ST明科,1997-07-04,sh,stock,stock_sh_600091,化工行业,ST板块,内蒙古,,,1997-07-04
600093,易见股份,1997-06-26,sh,stock,stock_sh_600093,汽车制造,成渝特区,四川,,,1997-06-26
600094,大名城,1997-07-03,sh,stock,stock_sh_600094,房地产,"['融资融券', '含B股', '业绩预升', '土地流转']",上海,,,1997-07-03
600095,哈高科,1997-07-08,sh,stock,stock_sh_600095,房地产,"['参股金融', '太阳能', '民营银行', '金融参股', '抗癌', '基因概念', '金融改革']",黑龙江,,,1997-07-08
600096,云天化,1997-07-09,sh,stock,stock_sh_600096,农药化肥,"['券商重仓', '锂电池', '分拆上市', '融资融券', '新三板', '出口退税', '聚氨酯']",云南,,,1997-07-09
600097,开创国际,1997-06-19,sh,stock,stock_sh_600097,农林牧渔,水域改革,上海,,,1997-06-19
600098,广州发展,1997-07-18,sh,stock,stock_sh_600098,电力行业,"['参股金融', '券商重仓', 'QFII重仓', '金融参股', '固废处理', '循环经济', '新能源']","['广州', '广东']",,,1997-07-18
600099,林海股份,1997-07-04,sh,stock,stock_sh_600099,摩托车,"['沿海发展', '出口退税', '重组概念']",江苏,,,1997-07-04
600100,同方股份,1997-06-27,sh,stock,stock_sh_600100,电子信息,"['石墨烯', '三网融合', '地热能', '高校背景', '海水淡化', '创投概念', '分拆上市', '安防服务', '融资融券', '绿色照明', '智能交通', '节能', '建筑节能', '业绩预升', '物联网', '云计算', '国防军工', '军工航天', '网络游戏']",北京,,,1997-06-27
600101,明星电力,1997-06-27,sh,stock,stock_sh_600101,电力行业,"['参股金融', '成渝特区', 'QFII重仓', '金融参股', '业绩预升', '涉矿概念']",四川,,,1997-06-27
600103,青山纸业,1997-07-03,sh,stock,stock_sh_600103,造纸行业,"['参股金融', '海峡西岸', '金融参股', '新三板']",福建,,,1997-07-03
600104,上汽集团,1997-11-25,sh,stock,stock_sh_600104,汽车制造,"['融资融券', '国企改革', '保险重仓', '基金重仓', 'QFII重仓', '整体上市', '社保重仓', '上海本地']",上海,,,1997-11-25
600105,永鼎股份,1997-09-29,sh,stock,stock_sh_600105,电子信息,"['5G概念', '4G概念', '创投概念', '超导概念', '云计算', '民营医院']",江苏,,,1997-09-29
600106,重庆路桥,1997-06-18,sh,stock,stock_sh_600106,公路桥梁,"['参股金融', '成渝特区', '信托重仓', '页岩气', '金融参股']",重庆,,,1997-06-18
600107,美尔雅,1997-11-06,sh,stock,stock_sh_600107,服装鞋类,"['参股金融', '股期概念', '融资融券', '金融参股']",湖北,,,1997-11-06
600108,亚盛集团,1997-08-18,sh,stock,stock_sh_600108,农林牧渔,"['参股金融', '股权激励', '融资融券', '乡村振兴', '金融参股', '陕甘宁', '土地流转', '社保重仓', '稀缺资源']",甘肃,,,1997-08-18
600109,国金证券,1997-08-07,sh,stock,stock_sh_600109,金融行业,"['股期概念', '成渝特区', '融资融券']",四川,,,1997-08-07
600110,诺德股份,1997-10-07,sh,stock,stock_sh_600110,电力行业,"['参股金融', '锂电池', '图们江', '特斯拉']",吉林,,,1997-10-07
600111,北方稀土,1997-09-24,sh,stock,stock_sh_600111,有色金属,"['锂电池', '融资融券', '基金重仓', '新能源', '稀土永磁', '稀缺资源']",内蒙古,,,1997-09-24
600112,*ST天成,1997-11-27,sh,stock,stock_sh_600112,电器行业,"['低碳经济', '风能', '智能电网', '风能概念', '新能源', '电子支付', '互联金融', '涉矿概念']",贵州,,,1997-11-27
600113,浙江东日,1997-10-21,sh,stock,stock_sh_600113,房地产,"['参股金融', '融资融券', '民营银行', '金融参股', '金融改革']",浙江,,,1997-10-21
600114,东睦股份,2004-05-11,sh,stock,stock_sh_600114,机械行业,"['股权激励', '业绩预升', '外资背景', '特斯拉']",浙江,,,2004-05-11
600115,东方航空,1997-11-05,sh,stock,stock_sh_600115,交通运输,"['迪士尼', '融资融券', '整体上市', '含H股', '上海本地', '上海自贸']",上海,,,1997-11-05
600116,三峡水利,1997-08-04,sh,stock,stock_sh_600116,电力行业,"['参股金融', '成渝特区', '融资融券', '水利建设', '金融参股', '固废处理', '循环经济']",重庆,,,1997-08-04
600117,西宁特钢,1997-10-15,sh,stock,stock_sh_600117,钢铁行业,"['参股金融', '保障房']",青海,,,1997-10-15
600118,中国卫星,1997-09-08,sh,stock,stock_sh_600118,飞机制造,"['军民融合', '融资融券', 'QFII重仓', '整体上市', '央企50', '卫星导航', '国防军工', '军工航天']",北京,,,1997-09-08
600119,长江投资,1998-01-15,sh,stock,stock_sh_600119,交通运输,"['金融参股', '新三板', '金融改革', '上海本地']",上海,,,1998-01-15
600120,浙江东方,1997-12-01,sh,stock,stock_sh_600120,物资外贸,"['参股金融', '军民融合', '融资融券', '金融参股', '金融改革']",浙江,,,1997-12-01
600121,*ST郑煤,1998-01-07,sh,stock,stock_sh_600121,煤炭行业,"['参股金融', '金融参股', '业绩预降']",河南,,,1998-01-07
600122,宏图高科,1998-04-20,sh,stock,stock_sh_600122,商业百货,"['参股金融', '股权激励', 'O2O模式', '民营银行', '金融参股', 'IPV6概念', '新三板', '新零售']",江苏,,,1998-04-20
600123,兰花科创,1998-12-17,sh,stock,stock_sh_600123,煤炭行业,"['低碳经济', '融资融券', '基金重仓', '信托重仓', '稀缺资源']",山西,,,1998-12-17
600125,铁龙物流,1998-05-11,sh,stock,stock_sh_600125,交通运输,"['参股金融', '融资融券', '金融参股', '社保重仓']",辽宁,,,1998-05-11
600126,杭钢股份,1998-03-11,sh,stock,stock_sh_600126,钢铁行业,重组概念,浙江,,,1998-03-11
600127,金健米业,1998-05-06,sh,stock,stock_sh_600127,农林牧渔,"['长株潭', '准ST股', '乡村振兴', '基因概念', '基因测序']",湖南,,,1998-05-06
600128,弘业股份,1997-09-01,sh,stock,stock_sh_600128,物资外贸,"['参股金融', '股期概念', '创投概念', '文化振兴', '金融参股']",江苏,,,1997-09-01
600129,太极集团,1997-11-18,sh,stock,stock_sh_600129,生物制药,"['参股金融', '成渝特区', '金融参股', '抗癌']",重庆,,,1997-11-18
600130,波导股份,2000-07-06,sh,stock,stock_sh_600130,电子信息,阿里概念,浙江,,,2000-07-06
600131,岷江水电,1998-04-02,sh,stock,stock_sh_600131,电力行业,"['低碳经济', '成渝特区', '水利建设', '新能源', '多晶硅']",四川,,,1998-04-02
600132,重庆啤酒,1997-10-30,sh,stock,stock_sh_600132,酿酒行业,"['体育概念', '成渝特区', '融资融券', '外资背景']",重庆,,,1997-10-30
600133,东湖高新,1998-02-12,sh,stock,stock_sh_600133,房地产,"['参股金融', '创投概念', '节能环保', '污水处理', '金融参股', '新三板', '固废处理', '循环经济', '武汉规划']",湖北,,,1998-02-12
600135,乐凯胶片,1998-01-22,sh,stock,stock_sh_600135,化工行业,"['参股金融', '锂电池', '雄安新区', '太阳能', '金融参股', '京津冀']",河北,,,1998-01-22
600136,当代明诚,1998-03-03,sh,stock,stock_sh_600136,商业百货,"['参股金融', '体育概念', '金融参股', '武汉规划']",湖北,,,1998-03-03
600137,浪莎股份,1998-04-16,sh,stock,stock_sh_600137,服装鞋类,,四川,,,1998-04-16
600138,中青旅,1997-12-03,sh,stock,stock_sh_600138,酒店旅游,"['分拆上市', '博彩概念', 'QFII重仓', 'O2O模式', '新三板', '新零售']",北京,,,1997-12-03
600139,西部资源,1998-02-25,sh,stock,stock_sh_600139,有色金属,"['体育概念', '锂电池', '成渝特区', '融资融券', '整体上市']",四川,,,1998-02-25
600141,兴发集团,1999-06-16,sh,stock,stock_sh_600141,化工行业,"['参股金融', '融资融券', '草甘膦', '金融参股', '出口退税', '稀缺资源']",湖北,,,1999-06-16
600143,金发科技,2004-06-23,sh,stock,stock_sh_600143,塑料制品,"['券商重仓', '广东自贸', '生态农业', '融资融券', '碳纤维', '民营银行', '苹果概念', '金融改革']","['广州', '广东']",,,2004-06-23
600145,*ST新亿,1999-09-23,sh,stock,stock_sh_600145,陶瓷行业,"['创投概念', 'ST板块', '融资融券', '金融参股']",新疆,,,1999-09-23
